game,method,metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
Maze,PCGNN,Solvability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Maze,PCGNN,Compression Distance,0.48788,0.002428,0.487721,0.491909,0.487324,0.488147,0.484297
Maze,PCGNN,A* Diversity,0.038706,0.047525,0.0,0.091436,0.0,0.0,0.102096
Maze,PCGNN,A* Edit Diversity,0.134611,0.167423,0.0,0.290422,0.0,0.0,0.382634
Maze,PCGNN,A* Difficulty,0.062197,0.077974,0.0,0.181822,0.0,0.0,0.129162
Maze,PCGNN,Leniency,0.699257,0.076064,0.677706,0.635621,0.686084,0.649936,0.846936
Maze,PCGNN,Gen Time (s),0.002385,0.000631,0.003643,0.002135,0.002125,0.002023,0.002001
Maze,PCGNN,Train Time (s),1100.461654,46.409113,1101.464564,1167.324067,1121.776638,1086.421039,1025.321963
Maze,DirectGA (Novelty),Solvability,0.922,0.042615,0.9,0.93,0.93,0.99,0.86
Maze,DirectGA (Novelty),Compression Distance,0.493606,0.002133,0.493905,0.495443,0.494181,0.489487,0.495016
Maze,DirectGA (Novelty),A* Diversity,0.152865,0.023015,0.165165,0.151203,0.144438,0.116969,0.186551
Maze,DirectGA (Novelty),A* Edit Diversity,0.484324,0.040081,0.50602,0.483791,0.469877,0.420426,0.541506
Maze,DirectGA (Novelty),A* Difficulty,0.160641,0.009994,0.163868,0.162466,0.143355,0.174241,0.159273
Maze,DirectGA (Novelty),Leniency,0.546202,0.022713,0.53842,0.560061,0.551973,0.57362,0.506937
Maze,DirectGA (Novelty),Gen Time (s),4.848386,0.046933,4.877607,4.791867,4.83654,4.922997,4.812918
Maze,DirectGA (Novelty),Train Time (s),2.4e-05,3e-06,2.4e-05,2.8e-05,2.2e-05,2.2e-05,2.1e-05
Maze,DirectGA+,Solvability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Maze,DirectGA+,Compression Distance,0.492899,0.001617,0.494265,0.491194,0.495304,0.491432,0.492299
Maze,DirectGA+,A* Diversity,0.111585,0.011065,0.108645,0.117019,0.105765,0.129597,0.096897
Maze,DirectGA+,A* Edit Diversity,0.40564,0.010883,0.41047,0.421727,0.406094,0.401337,0.388572
Maze,DirectGA+,A* Difficulty,0.164475,0.018661,0.177711,0.176627,0.172248,0.167995,0.127794
Maze,DirectGA+,Leniency,0.601956,0.010531,0.612754,0.607994,0.583894,0.608669,0.596468
Maze,DirectGA+,Gen Time (s),7.450224,0.177457,7.24311,7.462723,7.384621,7.775579,7.385089
Maze,DirectGA+,Train Time (s),2.4e-05,4e-06,2.7e-05,2.5e-05,3e-05,1.8e-05,2.3e-05
Maze,PCGRL (Wide),Solvability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Maze,PCGRL (Wide),Compression Distance,0.524786,0.020886,0.556339,0.506313,0.521469,0.539724,0.500084
Maze,PCGRL (Wide),A* Diversity,0.138681,0.005078,0.14108,0.141285,0.143453,0.138584,0.129005
Maze,PCGRL (Wide),A* Edit Diversity,0.425713,0.009697,0.407073,0.431408,0.434817,0.427761,0.427507
Maze,PCGRL (Wide),A* Difficulty,0.212909,0.012642,0.222871,0.196329,0.227148,0.19927,0.218928
Maze,PCGRL (Wide),Leniency,0.642207,0.039273,0.712662,0.59824,0.653056,0.62344,0.623635
Maze,PCGRL (Wide),Gen Time (s),1.618803,2.098805,5.813884,0.55073,0.552435,0.700662,0.476305
Maze,PCGRL (Wide),Train Time (s),245775.058013,6246.380513,233626.498106,251151.334087,249328.125869,246756.761406,248012.570595
Maze,DirectGA+,Solvability,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Maze,DirectGA+,Compression Distance,0.492899,0.001617,0.494265,0.491194,0.495304,0.491432,0.492299
Maze,DirectGA+,A* Diversity,0.111585,0.011065,0.108645,0.117019,0.105765,0.129597,0.096897
